"Key","Type","Character","Name"
"00_0_1007","Capsule/Item","","00_0_1007"
"00_0_1008","Capsule/Item","","00_0_1008"
"00_0_1009","Capsule/Item","","00_0_1009"
"00_0_1010","Capsule/Item","","00_0_1010"
"00_0_1011","Capsule/Item","","00_0_1011"
"00_0_1012","Capsule/Item","","00_0_1012"
"00_0_1013","Capsule/Item","","00_0_1013"
"00_0_1014","Capsule/Item","","00_0_1014"
"00_0_1015","Capsule/Item","","00_0_1015"
"00_0_1016","Capsule/Item","","00_0_1016"
"00_0_1017","Capsule/Item","","00_0_1017"
"00_0_1018","Capsule/Item","","00_0_1018"
"00_0_1019","Capsule/Item","","00_0_1019"
"00_0_1020","Capsule/Item","","00_0_1020"
"00_0_1021","Capsule/Item","","00_0_1021"
"00_0_1022","Capsule/Item","","00_0_1022"
"00_0_1023","Capsule/Item","","00_0_1023"
"00_0_1024","Capsule/Item","","00_0_1024"
"00_0_1025","Capsule/Item","","00_0_1025"
"00_0_1026","Capsule/Item","","00_0_1026"
"00_0_1027","Capsule/Item","","00_0_1027"
"00_0_1028","Capsule/Item","","00_0_1028"
"00_0_1029","Capsule/Item","","00_0_1029"
"00_0_1030","Capsule/Item","","00_0_1030"
"00_0_1033","Capsule/Item","","00_0_1033"
"00_0_1034","Capsule/Item","","00_0_1034"
"00_0_1035","Capsule/Item","","00_0_1035"
"00_0_1036","Capsule/Item","","00_0_1036"
"00_0_1037","Capsule/Item","","00_0_1037"
"00_0_1038","Capsule/Item","","00_0_1038"
"00_0_1039","Capsule/Item","","00_0_1039"
"00_0_1040","Capsule/Item","","00_0_1040"
"00_0_1041","Capsule/Item","","00_0_1041"
"00_0_1042","Capsule/Item","","00_0_1042"
"00_0_1043","Capsule/Item","","00_0_1043"
"00_0_1044","Capsule/Item","","00_0_1044"
"00_0_1045","Capsule/Item","","00_0_1045"
"00_0_1046","Capsule/Item","","00_0_1046"
"00_0_1047","Capsule/Item","","00_0_1047"
"00_0_1048","Capsule/Item","","00_0_1048"
"00_0_1049","Capsule/Item","","00_0_1049"
"00_0_1050","Capsule/Item","","00_0_1050"
"00_0_1051","Capsule/Item","","00_0_1051"
"00_0_1052","Capsule/Item","","00_0_1052"
"00_0_1053","Capsule/Item","","00_0_1053"
"00_0_1054","Capsule/Item","","00_0_1054"
"00_0_1055","Capsule/Item","","00_0_1055"
"00_0_1056","Capsule/Item","","00_0_1056"
"00_0_1057","Capsule/Item","","00_0_1057"
"00_0_1058","Capsule/Item","","00_0_1058"
"00_0_1059","Capsule/Item","","00_0_1059"
"00_0_1060","Capsule/Item","","00_0_1060"
"00_0_1061","Capsule/Item","","00_0_1061"
"00_0_1062","Capsule/Item","","00_0_1062"
"00_0_1063","Capsule/Item","","00_0_1063"
"00_0_1064","Capsule/Item","","00_0_1064"
"00_0_1065","Capsule/Item","","00_0_1065"
"00_0_1066","Capsule/Item","","00_0_1066"
"00_0_1067","Capsule/Item","","00_0_1067"
"00_0_1069","Capsule/Item","","00_0_1069"
"00_0_1070","Capsule/Item","","00_0_1070"
"00_0_1072","Capsule/Item","","00_0_1072"
"00_0_1073","Capsule/Item","","00_0_1073"
"00_1_0000_0000_00","Costume","Goku (Z - Early)","Goku (Z - Early) Outfit 1"
"00_1_0000_0000_10","Costume","Goku (Z - Mid)","Goku (Z - Mid) Outfit 1"
"00_1_0000_0000_11","Costume","Goku (Z - Mid), Super Saiyan","Goku (Z - Mid), Super Saiyan Outfit 1"
"00_1_0000_0000_20","Costume","Goku (Z - End)","Goku (Z - End) Outfit 1"
"00_1_0000_0000_21","Costume","Goku (Z - End), Super Saiyan","Goku (Z - End), Super Saiyan Outfit 1"
"00_1_0000_0000_22","Costume","Goku (Z - End), Super Saiyan 2","Goku (Z - End), Super Saiyan 2 Outfit 1"
"00_1_0000_0000_23","Costume","Goku (Z - End), Super Saiyan 3","Goku (Z - End), Super Saiyan 3 Outfit 1"
"00_1_0000_0000_33","Costume","Goku (GT), Super Saiyan 4","Goku (GT), Super Saiyan 4 Outfit 1"
"00_1_0000_0000_40","Costume","Goku (Super)","Goku (Super) Outfit 1"
"00_1_0000_0000_41","Costume","Goku (Super), Super Saiyan","Goku (Super), Super Saiyan Outfit 1"
"00_1_0000_0000_43","Costume","Goku (Super), Super Saiyan God Super Saiyan","Goku (Super), Super Saiyan God Super Saiyan Outfit 1"
"00_1_0000_0000_50","Costume","Goku (Super), Ultra Instinct -Sign-","Goku (Super), Ultra Instinct -Sign- Outfit 1"
"00_1_0000_0000_51","Costume","Goku (Super), Ultra Instinct","Goku (Super), Ultra Instinct Outfit 1"
"00_1_0000_0001_42","Costume","Goku (Super), Super Saiyan God","Goku (Super), Super Saiyan God Outfit 1"
"00_1_0000_0002_30","Costume","Goku (GT)","Goku (GT) Outfit 1"
"00_1_0000_0002_31","Costume","Goku (GT), Super Saiyan","Goku (GT), Super Saiyan Outfit 1"
"00_1_0000_0002_32","Costume","Goku (GT), Super Saiyan 3","Goku (GT), Super Saiyan 3 Outfit 1"
"00_1_0000_0002_50","Costume","Goku (Teen)","Goku (Teen) Outfit 1"
"00_1_0000_0020_00","Costume","Vegeta (Z - Scouter)","Vegeta (Z - Scouter) Outfit 1"
"00_1_0000_0020_10","Costume","Vegeta (Z - Early)","Vegeta (Z - Early) Outfit 1"
"00_1_0000_0020_11","Costume","Vegeta (Z - Early), Super Saiyan","Vegeta (Z - Early), Super Saiyan Outfit 1"
"00_1_0000_0020_30","Costume","Vegeta (Z - End)","Vegeta (Z - End) Outfit 1"
"00_1_0000_0020_31","Costume","Vegeta (Z - End), Super Saiyan","Vegeta (Z - End), Super Saiyan Outfit 1"
"00_1_0000_0020_32","Costume","Vegeta (Z - End), Super Saiyan 2","Vegeta (Z - End), Super Saiyan 2 Outfit 1"
"00_1_0000_0020_40","Costume","Majin Vegeta","Majin Vegeta Outfit 1"
"00_1_0000_0020_50","Costume","Vegeta (GT), Super Saiyan 4","Vegeta (GT), Super Saiyan 4 Outfit 1"
"00_1_0000_0020_60","Costume","Vegeta (Super)","Vegeta (Super) Outfit 1"
"00_1_0000_0020_61","Costume","Vegeta (Super), Super Saiyan","Vegeta (Super), Super Saiyan Outfit 1"
"00_1_0000_0020_63","Costume","Vegeta (Super), Super Saiyan God Super Saiyan","Vegeta (Super), Super Saiyan God Super Saiyan Outfit 1"
"00_1_0000_0021_20","Costume","Super Vegeta","Super Vegeta Outfit 1"
"00_1_0000_0022_62","Costume","Vegeta (Super), Super Saiyan God","Vegeta (Super), Super Saiyan God Outfit 1"
"00_1_0000_0023_00","Costume","Great Ape Vegeta","Great Ape Vegeta Outfit 1"
"00_1_0000_0030_00","Costume","Gohan (Kid)","Gohan (Kid) Outfit 1"
"00_1_0000_0031_00","Costume","Gohan (Teen)","Gohan (Teen) Outfit 1"
"00_1_0000_0031_01","Costume","Gohan (Teen), Super Saiyan","Gohan (Teen), Super Saiyan Outfit 1"
"00_1_0000_0031_02","Costume","Gohan (Teen), Super Saiyan 2","Gohan (Teen), Super Saiyan 2 Outfit 1"
"00_1_0000_0032_00","Costume","Gohan (Adult)","Gohan (Adult) Outfit 1"
"00_1_0000_0032_01","Costume","Gohan (Adult), Super Saiyan","Gohan (Adult), Super Saiyan Outfit 1"
"00_1_0000_0032_02","Costume","Gohan (Adult), Super Saiyan 2","Gohan (Adult), Super Saiyan 2 Outfit 1"
"00_1_0000_0032_10","Costume","Great Saiyaman","Great Saiyaman Outfit 1"
"00_1_0000_0032_20","Costume","Ultimate Gohan","Ultimate Gohan Outfit 1"
"00_1_0000_0032_30","Costume","Gohan (Future)","Gohan (Future) Outfit 1"
"00_1_0000_0032_31","Costume","Gohan (Future), Super Saiyan","Gohan (Future), Super Saiyan Outfit 1"
"00_1_0000_0040_00","Costume","Piccolo","Piccolo Outfit 1"
"00_1_0000_0040_10","Costume","Piccolo (Fused with Kami)","Piccolo (Fused with Kami) Outfit 1"
"00_1_0000_0040_20","Costume","Nail","Nail Outfit 1"
"00_1_0000_0050_00","Costume","Krillin","Krillin Outfit 1"
"00_1_0000_0060_00","Costume","Yamcha","Yamcha Outfit 1"
"00_1_0000_0070_00","Costume","Tien","Tien Outfit 1"
"00_1_0000_0080_00","Costume","Trunks (Sword)","Trunks (Sword) Outfit 1"
"00_1_0000_0080_01","Costume","Trunks (Sword), Super Saiyan","Trunks (Sword), Super Saiyan Outfit 1"
"00_1_0000_0080_10","Costume","Trunks (Melee)","Trunks (Melee) Outfit 1"
"00_1_0000_0080_11","Costume","Trunks (Melee), Super Saiyan","Trunks (Melee), Super Saiyan Outfit 1"
"00_1_0000_0080_30","Costume","Future Trunks","Future Trunks Outfit 1"
"00_1_0000_0080_31","Costume","Future Trunks, Super Saiyan","Future Trunks, Super Saiyan Outfit 1"
"00_1_0000_0081_20","Costume","Super Trunks","Super Trunks Outfit 1"
"00_1_0000_0082_00","Costume","Trunks (Kid)","Trunks (Kid) Outfit 1"
"00_1_0000_0082_01","Costume","Trunks (Kid), Super Saiyan","Trunks (Kid), Super Saiyan Outfit 1"
"00_1_0000_0090_00","Costume","Goten","Goten Outfit 1"
"00_1_0000_0090_01","Costume","Goten, Super Saiyan","Goten, Super Saiyan Outfit 1"
"00_1_0000_0100_00","Costume","Vegito","Vegito Outfit 1"
"00_1_0000_0100_01","Costume","Super Vegito","Super Vegito Outfit 1"
"00_1_0000_0100_02","Costume","Vegito, Super Saiyan God Super Saiyan","Vegito, Super Saiyan God Super Saiyan Outfit 1"
"00_1_0000_0110_00","Costume","Gogeta (Super)","Gogeta (Super) Outfit 1"
"00_1_0000_0110_01","Costume","Gogeta (Super), Super Saiyan","Gogeta (Super), Super Saiyan Outfit 1"
"00_1_0000_0110_02","Costume","Gogeta (GT), Super Saiyan 4","Gogeta (GT), Super Saiyan 4 Outfit 1"
"00_1_0000_0110_03","Costume","Gogeta (Super), Super Saiyan God Super Saiyan","Gogeta (Super), Super Saiyan God Super Saiyan Outfit 1"
"00_1_0000_0110_04","Costume","Super Gogeta (Z) ","Super Gogeta (Z)  Outfit 1"
"00_1_0000_0120_00","Costume","Gotenks","Gotenks Outfit 1"
"00_1_0000_0120_01","Costume","Gotenks, Super Saiyan","Gotenks, Super Saiyan Outfit 1"
"00_1_0000_0120_02","Costume","Gotenks, Super Saiyan 3","Gotenks, Super Saiyan 3 Outfit 1"
"00_1_0000_0121_00","Costume","Mighty Mask","Mighty Mask Outfit 1"
"00_1_0000_0130_00","Costume","Videl","Videl Outfit 1"
"00_1_0000_0140_00","Costume","Master Roshi","Master Roshi Outfit 1"
"00_1_0000_0141_00","Costume","Master Roshi, Max Power","Master Roshi, Max Power Outfit 1"
"00_1_0000_0150_00","Costume","Frieza (Z), 1st Form","Frieza (Z), 1st Form Outfit 1"
"00_1_0000_0151_00","Costume","Frieza (Z), 2nd Form","Frieza (Z), 2nd Form Outfit 1"
"00_1_0000_0152_00","Costume","Frieza (Z), 3rd Form","Frieza (Z), 3rd Form Outfit 1"
"00_1_0000_0153_00","Costume","Frieza (Z), 4th Form","Frieza (Z), 4th Form Outfit 1"
"00_1_0000_0153_10","Costume","Mecha Frieza","Mecha Frieza Outfit 1"
"00_1_0000_0153_20","Costume","Frieza (Super)","Frieza (Super) Outfit 1"
"00_1_0000_0154_00","Costume","Frieza (Z), Full Power","Frieza (Z), Full Power Outfit 1"
"00_1_0000_0155_00","Costume","Golden Frieza","Golden Frieza Outfit 1"
"00_1_0000_0160_00","Costume","Cell, 1st Form","Cell, 1st Form Outfit 1"
"00_1_0000_0161_00","Costume","Cell, 2nd Form","Cell, 2nd Form Outfit 1"
"00_1_0000_0162_00","Costume","Cell, Perfect Form","Cell, Perfect Form Outfit 1"
"00_1_0000_0162_01","Costume","Perfect Cell","Perfect Cell Outfit 1"
"00_1_0000_0163_00","Costume","Cell Jr.","Cell Jr. Outfit 1"
"00_1_0000_0170_00","Costume","Majin Buu","Majin Buu Outfit 1"
"00_1_0000_0171_00","Costume","Majin Buu (Evil)","Majin Buu (Evil) Outfit 1"
"00_1_0000_0172_00","Costume","Super Buu","Super Buu Outfit 1"
"00_1_0000_0172_10","Costume","Super Buu (Gotenks Absorbed)","Super Buu (Gotenks Absorbed) Outfit 1"
"00_1_0000_0172_11","Costume","Super Buu (Gohan Absorbed)","Super Buu (Gohan Absorbed) Outfit 1"
"00_1_0000_0173_00","Costume","Kid Buu","Kid Buu Outfit 1"
"00_1_0000_0180_00","Costume","Mr. Satan","Mr. Satan Outfit 1"
"00_1_0000_0190_00","Costume","Chiaotzu","Chiaotzu Outfit 1"
"00_1_0000_0210_00","Costume","Yajirobe","Yajirobe Outfit 1"
"00_1_0000_0220_00","Costume","Pikkon","Pikkon Outfit 1"
"00_1_0000_0230_00","Costume","Pan (GT)","Pan (GT) Outfit 1"
"00_1_0000_0240_00","Costume","Uub (GT)","Uub (GT) Outfit 1"
"00_1_0000_0240_01","Costume","Majuub (GT)","Majuub (GT) Outfit 1"
"00_1_0000_0260_00","Costume","Grandpa Gohan","Grandpa Gohan Outfit 1"
"00_1_0000_0270_00","Costume","Nam","Nam Outfit 1"
"00_1_0000_0280_00","Costume","Eighter","Eighter Outfit 1"
"00_1_0000_0301_00","Costume","Chi-Chi","Chi-Chi Outfit 1"
"00_1_0000_0310_00","Costume","Bardock","Bardock Outfit 1"
"00_1_0000_0320_00","Costume","Raditz","Raditz Outfit 1"
"00_1_0000_0330_00","Costume","Saibaman","Saibaman Outfit 1"
"00_1_0000_0340_00","Costume","Nappa","Nappa Outfit 1"
"00_1_0000_0350_00","Costume","Zarbon","Zarbon Outfit 1"
"00_1_0000_0351_00","Costume","Super Zarbon","Super Zarbon Outfit 1"
"00_1_0000_0360_00","Costume","Dodoria","Dodoria Outfit 1"
"00_1_0000_0370_00","Costume","Cui","Cui Outfit 1"
"00_1_0000_0380_00","Costume","Captain Ginyu","Captain Ginyu Outfit 1"
"00_1_0000_0390_00","Costume","Recoome","Recoome Outfit 1"
"00_1_0000_0400_00","Costume","Burter","Burter Outfit 1"
"00_1_0000_0410_00","Costume","Jeice","Jeice Outfit 1"
"00_1_0000_0420_00","Costume","Guldo","Guldo Outfit 1"
"00_1_0000_0430_00","Costume","King Cold","King Cold Outfit 1"
"00_1_0000_0440_00","Costume","Android 16","Android 16 Outfit 1"
"00_1_0000_0450_00","Costume","Android 17 (Z)","Android 17 (Z) Outfit 1"
"00_1_0000_0450_10","Costume","Android 17 (Super)","Android 17 (Super) Outfit 1"
"00_1_0000_0451_00","Costume","Super 17 (GT)","Super 17 (GT) Outfit 1"
"00_1_0000_0460_00","Costume","Android 18","Android 18 Outfit 1"
"00_1_0000_0470_00","Costume","Android 19","Android 19 Outfit 1"
"00_1_0000_0480_00","Costume","Dr. Gero","Dr. Gero Outfit 1"
"00_1_0000_0490_00","Costume","Babidi","Babidi Outfit 1"
"00_1_0000_0500_00","Costume","Dabura","Dabura Outfit 1"
"00_1_0000_0510_00","Costume","King Vegeta","King Vegeta Outfit 1"
"00_1_0000_0540_00","Costume","Frieza Force Soldier","Frieza Force Soldier Outfit 1"
"00_1_0000_0550_00","Costume","Broly (Z)","Broly (Z) Outfit 1"
"00_1_0000_0551_00","Costume","Broly (Z), Super Saiyan","Broly (Z), Super Saiyan Outfit 1"
"00_1_0000_0552_00","Costume","Broly (Z), Legendary Super Saiyan","Broly (Z), Legendary Super Saiyan Outfit 1"
"00_1_0000_0553_00","Costume","Broly (Super)","Broly (Super) Outfit 1"
"00_1_0000_0554_00","Costume","Broly (Super), Super Saiyan","Broly (Super), Super Saiyan Outfit 1"
"00_1_0000_0555_00","Costume","Broly (Super), Super Saiyan (Full Power)","Broly (Super), Super Saiyan (Full Power) Outfit 1"
"00_1_0000_0561_00","Costume","Super Garlic Jr.","Super Garlic Jr. Outfit 1"
"00_1_0000_0570_00","Costume","Dr. Wheelo","Dr. Wheelo Outfit 1"
"00_1_0000_0580_00","Costume","Turles","Turles Outfit 1"
"00_1_0000_0590_00","Costume","Lord Slug","Lord Slug Outfit 1"
"00_1_0000_0591_00","Costume","Lord Slug, Giant Form","Lord Slug, Giant Form Outfit 1"
"00_1_0000_0600_00","Costume","Cooler","Cooler Outfit 1"
"00_1_0000_0600_10","Costume","Metal Cooler","Metal Cooler Outfit 1"
"00_1_0000_0601_00","Costume","Cooler, Final Form","Cooler, Final Form Outfit 1"
"00_1_0000_0610_00","Costume","Salza","Salza Outfit 1"
"00_1_0000_0620_00","Costume","Android 13","Android 13 Outfit 1"
"00_1_0000_0621_00","Costume","Fusion Android 13","Fusion Android 13 Outfit 1"
"00_1_0000_0630_00","Costume","Bojack","Bojack Outfit 1"
"00_1_0000_0631_00","Costume","Full-Power Bojack","Full-Power Bojack Outfit 1"
"00_1_0000_0640_00","Costume","Zangya","Zangya Outfit 1"
"00_1_0000_0650_00","Costume","Janemba","Janemba Outfit 1"
"00_1_0000_0651_00","Costume","Super Janemba","Super Janemba Outfit 1"
"00_1_0000_0660_00","Costume","Tapion","Tapion Outfit 1"
"00_1_0000_0670_00","Costume","Hirudegarn","Hirudegarn Outfit 1"
"00_1_0000_0680_00","Costume","Baby Vegeta (GT)","Baby Vegeta (GT) Outfit 1"
"00_1_0000_0680_01","Costume","Super Baby 1 (GT)","Super Baby 1 (GT) Outfit 1"
"00_1_0000_0680_02","Costume","Super Baby 2 (GT)","Super Baby 2 (GT) Outfit 1"
"00_1_0000_0681_00","Costume","Great Ape Baby (GT)","Great Ape Baby (GT) Outfit 1"
"00_1_0000_0690_00","Costume","Nuova Shenron (GT)","Nuova Shenron (GT) Outfit 1"
"00_1_0000_0700_00","Costume","Syn Shenron (GT)","Syn Shenron (GT) Outfit 1"
"00_1_0000_0700_01","Costume","Omega Shenron (GT)","Omega Shenron (GT) Outfit 1"
"00_1_0000_0710_00","Costume","Mercenary Tao","Mercenary Tao Outfit 1"
"00_1_0000_0720_00","Costume","General Blue","General Blue Outfit 1"
"00_1_0000_0730_00","Costume","Spike the Devil Man","Spike the Devil Man Outfit 1"
"00_1_0000_0760_00","Costume","Spopovich","Spopovich Outfit 1"
"00_1_0000_0780_00","Costume","Beerus","Beerus Outfit 1"
"00_1_0000_0790_00","Costume","Whis","Whis Outfit 1"
"00_1_0000_0800_00","Costume","Goku Black","Goku Black Outfit 1"
"00_1_0000_0800_01","Costume","Goku Black, Super Saiyan Rosé","Goku Black, Super Saiyan Rosé Outfit 1"
"00_1_0000_0810_00","Costume","Zamasu","Zamasu Outfit 1"
"00_1_0000_0810_01","Costume","Fused Zamasu","Fused Zamasu Outfit 1"
"00_1_0000_0811_00","Costume","Fused Zamasu, Half-Corrupted","Fused Zamasu, Half-Corrupted Outfit 1"
"00_1_0000_0820_00","Costume","Demon King Piccolo","Demon King Piccolo Outfit 1"
"00_1_0000_0830_00","Costume","Jaco","Jaco Outfit 1"
"00_1_0000_0870_00","Costume","Hit","Hit Outfit 1"
"00_1_0000_0881_00","Costume","Frost","Frost Outfit 1"
"00_1_0000_0890_00","Costume","Cabba","Cabba Outfit 1"
"00_1_0000_0890_01","Costume","Cabba, Super Saiyan","Cabba, Super Saiyan Outfit 1"
"00_1_0000_0890_02","Costume","Cabba, Super Saiyan 2","Cabba, Super Saiyan 2 Outfit 1"
"00_1_0000_0900_00","Costume","Caulifla","Caulifla Outfit 1"
"00_1_0000_0900_02","Costume","Caulifla, Super Saiyan 2","Caulifla, Super Saiyan 2 Outfit 1"
"00_1_0000_0910_00","Costume","Kale","Kale Outfit 1"
"00_1_0000_0911_00","Costume","Kale, Super Saiyan (Berserk)","Kale, Super Saiyan (Berserk) Outfit 1"
"00_1_0000_0912_00","Costume","Kale, Super Saiyan","Kale, Super Saiyan Outfit 1"
"00_1_0000_0920_00","Costume","Kefla","Kefla Outfit 1"
"00_1_0000_0920_01","Costume","Kefla, Super Saiyan","Kefla, Super Saiyan Outfit 1"
"00_1_0000_0920_02","Costume","Kefla, Super Saiyan 2","Kefla, Super Saiyan 2 Outfit 1"
"00_1_0000_0930_00","Costume","Jiren","Jiren Outfit 1"
"00_1_0000_0931_00","Costume","Jiren, Full Power","Jiren, Full Power Outfit 1"
"00_1_0000_0940_00","Costume","Toppo","Toppo Outfit 1"
"00_1_0000_0941_00","Costume","Toppo, God of Destruction","Toppo, God of Destruction Outfit 1"
"00_1_0000_0950_00","Costume","Dyspo","Dyspo Outfit 1"
"00_1_0000_1000_00","Costume","Champa","Champa Outfit 1"
"00_1_0000_1190_00","Costume","Bergamo","Bergamo Outfit 1"
"00_1_0000_1321_00","Costume","Ribrianne","Ribrianne Outfit 1"
"00_1_0000_1331_00","Costume","Kakunsa","Kakunsa Outfit 1"
"00_1_0000_1341_00","Costume","Roasie","Roasie Outfit 1"
"00_1_0000_1500_00","Costume","Anilaza","Anilaza Outfit 1"
"00_1_0000_1960_00","Costume","Cheelai","Cheelai Outfit 1"
"00_1_0000_2230_00","Costume","Gohan Black","Gohan Black Outfit 1"
"00_1_0000_2230_01","Costume","Ultimate Gohan Black","Ultimate Gohan Black Outfit 1"
"00_1_0000_3050_00","Costume","Goku (Mini)","Goku (Mini) Outfit 1"
"00_1_0000_8008_02","Costume",," Outfit 1"
"00_1_0001_0000_00","Costume","Goku (Z - Early)","Goku (Z - Early) Outfit 2"
"00_1_0001_0000_10","Costume","Goku (Z - Mid)","Goku (Z - Mid) Outfit 2"
"00_1_0001_0000_11","Costume","Goku (Z - Mid), Super Saiyan","Goku (Z - Mid), Super Saiyan Outfit 2"
"00_1_0001_0000_20","Costume","Goku (Z - End)","Goku (Z - End) Outfit 2"
"00_1_0001_0000_21","Costume","Goku (Z - End), Super Saiyan","Goku (Z - End), Super Saiyan Outfit 2"
